Gene,Transcript,Prot_length
INCA1,NM_213726,221
INCA1,NM_001167985,221
INCA1,NM_001167986,236
INCA1,NM_001167987,236
NF1,NM_000267,2818
FUS,NM_004960,526
SPATA22,NM_001170696,320
SPATA22,NM_001170695,363
SPATA22,NM_001170697,363
SPATA22,NM_001170698,363
SPATA22,NM_032598,363
SPATA22,NM_001170699,269
FUS,NM_001170937,522
FUS,NM_001170634,525
SULT1A2,NM_177528,295
PHKG2,NM_001172432,374
SLC6A2,NM_001043,617
SLC6A2,NM_001172502,512
SLC6A2,NM_001172504,628
OR1D2,NM_002548,312
OR3A1,NM_002550,315
OR1A1,NM_014565,309
OR3A3,NM_012373,321
ZNF668,NM_001172668,619
ZNF668,NM_001172669,642
ZNF668,NM_001172670,619
GGA2,NM_015044,613
IL34,NM_152456,242
IL34,NM_001172772,242
TK2,NM_001172643,234
TK2,NM_001172645,247
SHISA6,NM_001173461,500
BANP,NM_001173542,508
BANP,NM_001173543,519
MAP2K3,NM_002756,318
CLDN7,NM_001185022,211
CLDN7,NM_001185023,145
CES3,NM_001185176,210
CALB2,NM_007088,192
CES5A,NM_001190158,604
RPH3AL,NM_001190411,315
NCOR1,NM_001190438,914
NCOR1,NM_001190440,2337
MTRNR2L1,NM_001190452,24
LIG3,NM_002311,949
NUDT16L1,NM_032349,211
NUDT16L1,NM_001193452,192
ARHGEF15,NM_025014,841
CORO1A,NM_001193333,461
CCDC189,NM_001195620,177
SLFN12L,NM_001195790,588
HYDIN,NM_001198542,950
HYDIN,NM_001198543,940
TNFSF13,NM_001198622,223
TNFSF13,NM_001198623,222
TNFSF13,NM_001198624,205
MVP,NM_017458,893
PABPN1L,NM_001080487,278
COPS3,NM_001199125,403
EIF3C,NM_001199142,913
LDHD,NM_153486,507
LDHD,NM_194436,484
PYCARD,NM_145182,176
NIP7,NM_001199434,133
KCNG4,NM_172347,519
CPD,NM_001199775,1133
TAOK1,NM_020791,1001
TAOK1,NM_025142,853
CENPBD1,NM_145039,187
ASGR1,NM_001197216,252
ASGR2,NM_080912,311
ASGR2,NM_001181,311
ASGR2,NM_080913,287
ASGR2,NM_001201352,306
ASGR2,NM_080914,292
ZNF778,NM_001201407,757
RNASEK,NM_001004333,137
ZNF821,NM_017530,370
ZNF821,NM_001201553,412
ZNF821,NM_001201554,370
ZNF821,NM_001201556,139
CKLF,NM_016326,67
CKLF,NM_181640,99
CKLF,NM_181641,120
CKLF,NM_016951,152
CKLF,NM_001040138,113
TAX1BP3,NM_001204698,98
NXN,NM_001205319,327
RNF40,NM_001207033,1000
RNF40,NM_001207034,901
ZNF48,NM_001214906,618
ZNF48,NM_001214907,495
MGRN1,NM_001142289,554
MGRN1,NM_001142290,552
MGRN1,NM_001142291,530
C16orf97,NM_001242473,126
SLC22A31,NM_001242757,338
DEF8,NM_001242819,434
DEF8,NM_001242820,451
DEF8,NM_001242821,197
NDRG4,NM_022910,371
NDRG4,NM_001242833,369
NDRG4,NM_001242834,357
NDRG4,NM_001242835,352
NDRG4,NM_001242836,339
ANKS3,NM_001242929,549
RPL13,NM_000977,211
RPL13,NM_033251,211
RPL13,NM_001243130,192
RPL13,NM_001243131,164
SULT1A1,NM_177534,295
SULT1A1,NM_177536,217
SULT1A1,NM_001055,295
SULT1A1,NM_177529,295
SULT1A1,NM_177530,295
TAF1C,NM_001243157,537
ALDOA,NM_000034,364
ALDOA,NM_184043,364
ALDOA,NM_001127617,364
SEZ6L2,NM_001243332,923
SEZ6L2,NM_001243333,879
CLEC16A,NM_001243403,906
SPECC1,NM_001033553,1068
SPECC1,NM_152904,790
CD2BP2,NM_001243646,341
NUDT7,NM_001243657,170
NUDT7,NM_001243660,223
NUDT7,NM_001243661,185
HIRIP3,NM_001197323,175
PRPSAP2,NM_001243942,283
PRPSAP2,NM_001243940,320
PRPSAP2,NM_001243941,283
ATP2A3,NM_174956,1029
CLEC3A,NM_001244755,145
C16orf89,NM_001098514,361
C16orf89,NM_152459,402
NLRC5,NM_032206,1866
PIK3R5,NM_001251852,494
PIK3R5,NM_001142633,880
PIK3R5,NM_001251853,494
PIK3R5,NM_001251855,494
DHRS7B,NM_015510,325
IRX5,NM_001252197,482
SMIM22,NM_001253790,83
SMIM22,NM_001253791,88
CYB5D2,NM_001254756,152
KCNJ18,NM_001194958,433
MYH10,NM_001256095,1985
TP53,NM_000546,393
TP53,NM_001126112,393
TP53,NM_001126113,346
TP53,NM_001126114,341
TP53,NM_001126118,354
KIF22,NM_001256270,597
RAB34,NM_001256278,259
DPEP1,NM_001128141,411
SMG6,NM_001256828,511
C16orf95,NM_001256917,143
ROGDI,NM_024589,287
ATXN2L,NM_007245,1075
ATXN2L,NM_148414,1097
ATXN2L,NM_148415,1044
ATXN2L,NM_145714,1062
ATXN2L,NM_148416,1044
ATXN2L,NM_017492,1062
POLR3E,NM_001258035,672
MIS12,NM_024039,205
MIS12,NM_001258219,205
MIS12,NM_001258218,205
MIS12,NM_001258220,205
SLC5A11,NM_001258414,519
KCNAB3,NM_004732,404
NSRP1,NM_001261467,504
USP43,NM_001267576,1118
IFT20,NM_001267778,74
ZMYND15,NM_032265,703
ZMYND15,NM_001267822,750
CLUAP1,NM_024793,247
ACADVL,NM_001033859,633
ACADVL,NM_001270447,678
ACADVL,NM_001270448,579
WWP2,NM_001270453,754
PSMB6,NM_001270481,213
CENPN,NM_001100625,353
CENPN,NM_001100624,339
CENPN,NM_001270473,319
CENPN,NM_001270474,305
CENPN,NM_018455,204
SLC5A10,NM_001270649,560
NTAN1,NM_001270766,205
NTAN1,NM_001270767,205
IST1,NM_001270976,379
IST1,NM_001270979,218
SCIMP,NM_207103,145
SCIMP,NM_001271842,138
SPATA33,NM_153025,139
SPATA33,NM_001271907,140
SPATA33,NM_001271908,109
SPATA33,NM_001271909,109
SPATA33,NM_001271910,72
TK2,NM_001271935,146
TMEM231,NM_001077416,369
STX4,NM_001272095,219
STX4,NM_001272096,295
NOL3,NM_001276311,181
NOL3,NM_001276309,208
NOL3,NM_001185057,219
NOL3,NM_003946,208
LOC388282,NM_001278081,173
CARHSP1,NM_001042476,147
CARHSP1,NM_001278260,147
CARHSP1,NM_001278261,147
CARHSP1,NM_001278264,147
CARHSP1,NM_001278263,147
CARHSP1,NM_001278265,147
CARHSP1,NM_001278266,147
CARHSP1,NM_001278262,147
NUBP1,NM_001278506,309
UMOD,NM_003361,640
CCL1,NM_002981,96
PMP22,NM_001281455,160
UBB,NM_001281716,229
UBB,NM_001281717,229
UBB,NM_001281719,229
UBB,NM_001281718,229
UBB,NM_001281720,229
SHMT1,NM_148918,444
SHMT1,NM_001281786,345
CNEP1R1,NM_153261,142
CNEP1R1,NM_001281789,125
DOC2A,NM_001282062,400
DOC2A,NM_001282063,400
SSH2,NM_033389,1423
C17orf51,NM_001113434,221
SMG6,NM_001282326,330
FBXL19,NM_001282351,382
SLC5A10,NM_001282417,566
CDRT1,NM_001282540,714
ZSCAN32,NM_001284528,408
SLC43A2,NM_001284499,432
PHF23,NM_001284518,399
PDXDC1,NM_001285448,697
PDXDC1,NM_001285447,773
PDXDC1,NM_001285449,498
ATP2A1,NM_001286075,869
DYNC1LI2,NM_001286157,415
GAS8,NM_001286205,395
GAS8,NM_001286208,286
GAS8,NM_001286209,453
HMOX2,NM_001127206,316
HMOX2,NM_001286267,370
HMOX2,NM_001286268,316
HMOX2,NM_001286269,316
HMOX2,NM_001286270,316
HMOX2,NM_001286271,287
CIITA,NM_001286402,1131
EIF3C,NM_001267574,913
EIF3C,NM_001037808,913
EIF3C,NM_001286478,903
EIF3C,NM_003752,913
NAE1,NM_001286500,537
DNAJA3,NM_001286516,300
KIAA0513,NM_001286565,411
KIAA0513,NM_001286566,401
KIAA0513,NM_014732,411
MYOCD,NM_001146312,986
MYOCD,NM_153604,938
NLE1,NM_001014445,193
METTL9,NM_001077180,317
EMC6,NM_001014764,110
METTL9,NM_001288659,278
UBN1,NM_001288656,1104
METTL9,NM_001288660,277
DBNDD1,NM_001288709,278
DBNDD1,NM_024043,178
RHOT1,NM_001033567,491
RHOT1,NM_001033566,659
RHOT1,NM_018307,618
RHOT1,NM_001033568,691
RHOT1,NM_001288758,523
RHOT1,NM_001288755,597
RHOT1,NM_001288754,650
ELP5,NM_203413,279
ELP5,NM_203414,316
ELP5,NM_015362,316
PHLPP2,NM_001289003,1256
PHLPP2,NM_015020,1323
EEF2KMT,NM_201598,296
EEF2KMT,NM_001289029,269
SHBG,NM_001146281,287
SHBG,NM_001289113,344
SHBG,NM_001289114,344
SHBG,NM_001289115,235
SLC5A11,NM_001258412,605
SLC5A11,NM_052944,675
SLC5A11,NM_001258411,640
PRMT7,NM_001290018,692
ZP2,NM_003460,745
ZP2,NM_001290104,736
TMC7,NM_001160364,613
TMC7,NM_024847,723
SEZ6,NM_001290202,869
TP53TG3D,NM_001243722,124
ATP2C2,NM_001286527,975
ATP2C2,NM_014861,946
ATP2C2,NM_001291454,795
SEBOX,NM_001080837,190
GRIN2A,NM_001134408,1281
SLC38A8,NM_001080442,435
MVP,NM_001293204,833
MVP,NM_001293205,827
KIAA0513,NM_001297766,301
TMC7,NM_001300732,758
RRN3,NM_001301064,621
RRN3,NM_018427,651
MT1F,NM_001301272,44
TMEM98,NM_001301746,226
ARMC5,NM_001301820,967
ZNF75A,NM_001302109,537
ZNF75A,NM_153028,296
MMP2,NM_001127891,610
MMP2,NM_001302508,584
MMP2,NM_001302509,584
MMP2,NM_001302510,584
ZNF469,NM_001127464,3925
OR1A2,NM_012352,309
CCDC144NL,NM_001004306,221
ATP1B2,NM_001303263,208
ZNF18,NM_001303282,548
ZNF18,NM_144680,549
DNAH3,NM_017539,4116
OR1E2,NM_003554,323
GPRC5B,NM_001304771,534
SRR,NM_001304803,191
KRBA2,NM_213597,492
ZNF319,NM_020807,582
TMEM170A,NM_001304998,76
ITFG1,NM_001305002,464
PYDC1,NM_152901,89
ZNF747,NM_001305019,330
ZNF747,NM_001305020,190
ZNF747,NM_001305018,331
ZNF747,NM_023931,191
DYNLRB2,NM_001305017,125
IQCK,NM_153208,287
IQCK,NM_001305121,199
IQCK,NM_001305122,239
RSPRY1,NM_001305182,117
ZFP90,NM_001305204,113
NPIPB15,NM_001306094,443
RBFOX1,NM_001308117,425
MRTFB,NM_014048,1049
EARS2,NM_001308211,534
ATXN2L,NM_001308230,1068
TMC5,NM_001308161,954
UNC45B,NM_173167,931
UNC45B,NM_001308281,850
SH2B1,NM_001308293,756
SH2B1,NM_001308294,335
MYLK3,NM_001308301,478
CHD9,NM_001308319,2897
AKTIP,NM_001308325,293
AKTIP,NM_001012398,292
CIAPIN1,NM_001308347,299
CIAPIN1,NM_001308358,266
NPIPB4,NM_001310148,1222
GLYR1,NM_001308096,547
GSG1L2,NM_001310219,293
VKORC1,NM_206824,92
VKORC1,NM_001311311,191
ARL6IP1,NM_001313858,174
AURKB,NM_001313951,303
COPS3,NM_001316354,293
COPS3,NM_001316355,365
COPS3,NM_001316356,356
COPS3,NM_001316357,318
COPS3,NM_001316358,318
TVP23B,NM_001316923,119
TVP23B,NM_001316921,141
TVP23B,NM_001316920,141
TVP23B,NM_001316922,119
TVP23B,NM_001316919,141
PLA2G10,NM_003561,165
NAA60,NM_001317093,249
SPACA3,NM_001317225,123
EIF3CL,NM_001099661,914
EIF3CL,NM_001317856,914
EIF3CL,NM_001317857,914
TLCD3A,NM_001318006,225
TLCD3A,NM_001318007,87
TLCD3A,NM_001318008,69
HP,NM_001126102,347
AHSP,NM_001318222,102
ZNF821,NM_001318238,262
ZNF821,NM_001318239,262
QPRT,NM_001318249,152
QPRT,NM_001318250,149
SETD6,NM_024860,449
UTP4,NM_001318391,603
ZFP1,NM_001318475,76
GPR139,NM_001002911,353
GPR139,NM_001318483,260
TLCD3B,NM_001318504,224
KIFC3,NM_001318713,684
KIFC3,NM_001318714,687
DNAAF1,NM_001318756,489
ACSM1,NM_001318890,577
GLIS2,NM_001318918,524
SCIMP,NM_001319190,123
TMEM88,NM_001319941,126
TMEM102,NM_001320444,508
DDX19A,NM_001320522,447
DDX19A,NM_001320525,388
DDX19A,NM_001320527,301
DDX19A,NM_001320526,328
NUP88,NM_001320653,757
SLC25A35,NM_001320872,295
SAT2,NM_001320846,215
SLC25A35,NM_001320877,278
SAT2,NM_001320845,249
ZNF232,NM_001320955,416
ZNF232,NM_001320952,435
ZNF232,NM_001320953,417
ZNF232,NM_001320954,417
DLG4,NM_001365,767
DLG4,NM_001321074,764
B9D1,NM_001243473,257
B9D1,NM_001243475,147
SPATA22,NM_001321336,347
SPATA22,NM_001321337,363
USP7,NM_001321858,1044
PDPR,NM_001322118,779
PDPR,NM_001322117,879
PDPR,NM_001322119,477
TOX3,NM_001146188,571
ZNF423,NM_015069,1284
ZNF423,NM_001271620,1224
SRL,NM_001323667,431
SRL,NM_001323668,431
RBL2,NM_001323611,1065
HYDIN,NM_001270974,5121
NUBP1,NM_001323597,244
NUBP1,NM_001323595,292
NUBP1,NM_001323594,269
NUBP1,NM_001323596,259
DYNC1LI2,NM_001323955,453
PDXDC1,NM_001324021,471
PDXDC1,NM_001324020,497
ZNF75A,NM_001324041,537
WDR59,NM_001324172,479
DPEP2,NM_001324159,328
WDR59,NM_001324171,571
TMC7,NM_001324265,671
TMC7,NM_001324268,381
TMC7,NM_001324263,381
OGFOD1,NM_001324362,402
OGFOD1,NM_001324361,487
OGFOD1,NM_001324358,487
OGFOD1,NM_001324359,445
MYLPF,NM_001324459,169
RPGRIP1L,NM_001308334,1269
NECAB2,NM_001329748,368
SERPINF1,NM_001329903,418
SERPINF1,NM_001329904,231
SERPINF1,NM_001329905,231
MPDU1,NM_001330073,192
ANKFY1,NM_001257999,1211
NAA38,NM_001320925,125
NAA38,NM_032356,173
VAMP2,NM_001330125,118
NAA38,NM_001320924,135
B9D1,NM_001330149,161
AKAP10,NM_001330152,604
ALG1,NM_001330504,353
SYT17,NM_001330509,413
TP53I13,NM_001346078,368
TP53I13,NM_001346082,277
TP53I13,NM_001346077,368
ZNF287,NM_001346170,713
ZNF287,NM_001346169,761
ZNF287,NM_001346171,592
ZNF287,NM_001346168,761
ZNF287,NM_001346167,761
DPH1,NM_001346576,303
DPH1,NM_001346575,411
DPH1,NM_001346574,422
ADAP2,NM_001346714,380
ADAP2,NM_001346712,387
ADAP2,NM_001346716,355
LOC79999,NM_001291904,156
LOC388436,NM_001291905,156
LOC643802,NM_001347693,143
LOC100129697,NM_001290330,413
NUP93,NM_001242796,696
LOC100287036,NM_001242885,125
TRIM16,NM_001348120,564
TRIM16,NM_001348126,402
TRIM16,NM_001348124,348
TRIM16,NM_001348121,434
TRIM16,NM_006470,564
TRIM16,NM_001348125,348
TRIM16,NM_001348122,434
FAM106B,NM_001348161,169
FAM106C,NM_001348162,169
ELP5,NM_203415,316
TRIM16,NM_001348119,564
KDM6B,NM_001080424,1682
KDM6B,NM_001348716,1643
CDRT15,NM_001007530,188
CORO6,NM_001351302,237
CORO6,NM_001351301,237
ABCC6,NM_001079528,99
TRIM16L,NM_001037330,348
BCAR1,NM_001170721,660
SPN,NM_001030288,400
TMEM220,NM_001330140,130
TMEM220,NM_001330139,150
RPL26,NM_000987,145
PIEZO1,NM_001142864,2521
CTC1,NM_025099,1217
DDX19B,NM_001257172,453
DDX19B,NM_001014449,370
DDX19B,NM_001014451,448
CMTM3,NM_144601,182
DDX19B,NM_001257173,370
DDX19B,NM_001257174,370
DDX19B,NM_001257175,328
ACD,NM_001082486,458
ACD,NM_022914,455
CES4A,NM_001190202,374
CES4A,NM_173815,468
CES4A,NM_001318506,367
CES4A,NM_001190201,463
CHST6,NM_021615,395
CHRNE,NM_000080,493
ALOX12B,NM_001139,701
NEK8,NM_178170,692
ESRP2,NM_024939,717
CA7,NM_001014435,208
CA7,NM_005182,264
CES2,NM_003869,559
CES2,NM_198061,543
OTOA,NM_144672,1139
CA5A,NM_001739,305
ZNF232,NM_014519,444
PARN,NM_002582,639
CLUH,NM_015229,1347
FOXC2,NM_005251,501
POLR2A,NM_000937,1970
PKD1L2,NM_001076780,991
PKD1L2,NM_001278423,306
BCL6B,NM_181844,479
ACADVL,NM_000018,655
ZNF843,NM_001136509,348
CDR2,NM_001802,454
ZNF286A,NM_001130842,521
NDE1,NM_017668,335
NKD1,NM_033119,470
CLEC16A,NM_015226,1053
MYO1C,NM_001080779,1063
SIAH1,NM_003031,282
SLFN13,NM_144682,897
NLRC3,NM_178844,1065
KATNB1,NM_005886,655
ACAP1,NM_014716,740
GEMIN4,NM_015721,1058
TEKT1,NM_053285,418
MED11,NM_001001683,117
ORC6,NM_014321,252
CENPV,NM_181716,272
RAB34,NM_031934,259
ZNF830,NM_052857,372
SLC46A1,NM_080669,459
MLKL,NM_152649,471
C16orf86,NM_001012984,317
HERPUD1,NM_014685,391
TCF25,NM_014972,676
SLC9A5,NM_004594,896
NQO1,NM_000903,274
RAB11FIP4,NM_032932,637
TMC5,NM_001261841,1006
RABEP1,NM_004703,862
TMEM208,NM_014187,173
MT1X,NM_005952,61
TNFAIP1,NM_021137,316
JPH3,NM_020655,748
CFAP52,NM_145054,620
TRAF4,NM_004295,470
ATP1B2,NM_001678,290
TVP23A,NM_001079512,213
TRADD,NM_003789,312
PLSCR3,NM_020360,295
MT1B,NM_005947,61
PRPSAP2,NM_002767,369
COQ9,NM_020312,318
HIC1,NM_006497,714
PDF,NM_022341,243
TMEM170A,NM_145254,144
SPIRE2,NM_032451,714
ZNF594,NM_032530,807
VPS53,NM_001128159,832
NLGN2,NM_020795,835
ARL6IP1,NM_015161,203
TIGD7,NM_033208,549
CDYL2,NM_152342,506
TMEM231,NM_001077418,316
NUFIP2,NM_020772,695
EXOC3L1,NM_178516,746
UBFD1,NM_019116,309
YBX2,NM_015982,364
CTRL,NM_001907,264
NCBP3,NM_001114118,620
PFAS,NM_012393,1338
ASPHD1,NM_181718,390
DYNLRB2,NM_130897,96
MMP2,NM_004530,660
FCSK,NM_145059,1084
KCTD13,NM_178863,329
RFWD3,NM_018124,774
ATP6V0D1,NM_004691,351
SPNS3,NM_182538,512
NSRP1,NM_032141,558
MRM3,NM_018146,420
NDUFAB1,NM_005003,156
RANGRF,NM_016492,186
DDX19A,NM_018332,478
PMP22,NM_000304,160
NOMO1,NM_014287,1222
PRSS8,NM_002773,343
FAM83G,NM_001039999,823
ZNF597,NM_152457,424
ZBTB4,NM_001128833,1013
EIF4A1,NM_001416,406
GRIN2A,NM_001134407,1464
TVP23B,NM_016078,205
ARHGEF15,NM_173728,841
RAI1,NM_030665,1906
TNRC6A,NM_014494,1962
DNAJA3,NM_005147,480
NTN1,NM_004822,604
SUZ12,NM_015355,739
GFOD2,NM_030819,385
CDIP1,NM_013399,208
C17orf107,NM_001145536,190
SLC52A1,NM_017986,448
RPS15A,NM_001019,130
WFDC1,NM_021197,220
ENKD1,NM_032140,346
PHKB,NM_000293,1093
HAS3,NM_001199280,553
ZNF821,NM_001201552,412
GLP2R,NM_004246,553
KLHL36,NM_024731,616
PMM2,NM_000303,246
FHOD1,NM_013241,1164
METTL16,NM_024086,562
GALNS,NM_000512,522
FANCA,NM_000135,1455
CTU2,NM_001012759,515
QPRT,NM_014298,297
FTO,NM_001080432,505
FLOT2,NM_004475,428
MAF,NM_005360,403
MYH2,NM_017534,1941
SMPD3,NM_018667,655
PAGR1,NM_024516,254
MAPK3,NM_002746,379
SNX20,NM_182854,316
BLMH,NM_000386,455
TP53I13,NM_138349,393
EFNB3,NM_001406,340
HS3ST4,NM_006040,456
P2RX5,NM_002561,422
NAE1,NM_003905,534
MINK1,NM_153827,1332
HSD11B2,NM_000196,405
TRPV2,NM_016113,764
TRARG1,NM_172367,177
HS3ST2,NM_006043,367
MMP15,NM_002428,669
PHKG2,NM_000294,406
ADCY9,NM_001116,1353
AURKB,NM_004217,344
SCO1,NM_004589,301
INO80E,NM_173618,244
SPNS1,NM_032038,528
NFATC3,NM_173165,1075
BEAN1,NM_001178020,259
NLK,NM_016231,527
RHBDL3,NM_138328,404
VPS9D1,NM_004913,631
ACSM3,NM_005622,586
PSME3IP1,NM_024946,254
NRN1L,NM_198443,165
CETP,NM_000078,493
PAM16,NM_016069,125
PIGS,NM_033198,555
PRPF8,NM_006445,2335
CTRB2,NM_001025200,263
KIAA0556,NM_015202,1618
DPEP3,NM_022357,513
VWA3A,NM_173615,1184
PLCG2,NM_002661,1265
IGSF6,NM_005849,241
SPN,NM_003123,400
GABARAP,NM_007278,117
CRK,NM_016823,304
TEKT3,NM_031898,490
SLC7A6OS,NM_032178,309
VMO1,NM_182566,202
GSG1L,NM_001109763,331
HSDL1,NM_031463,330
SPAG7,NM_004890,227
PLD2,NM_002663,933
SRL,NM_001098814,473
IL4R,NM_000418,825
GLYR1,NM_032569,553
HS3ST3A1,NM_006042,406
CES3,NM_024922,571
SLC5A2,NM_003041,672
SMG6,NM_017575,1419
ZNF768,NM_024671,540
MYH8,NM_002472,1937
ADAMTS18,NM_199355,1221
RMI2,NM_152308,147
RPL23A,NM_000984,156
TNFSF12,NM_003809,249
ZNF18,NM_001303281,549
E2F4,NM_001950,413
NLRP1,NM_033004,1473
GDPD3,NM_024307,318
EMC8,NM_006067,210
ALOX15B,NM_001141,676
DVL2,NM_004422,736
TFAP4,NM_003223,338
CCDC189,NM_001014979,331
DHRS13,NM_144683,377
ARHGAP17,NM_001006634,881
SCNN1G,NM_001039,649
NIP7,NM_016101,180
SLC25A11,NM_003562,314
GNAO1,NM_020988,354
ABHD15,NM_198147,468
CCL22,NM_002990,93
CHMP1A,NM_002768,196
ZZEF1,NM_015113,2961
TANGO6,NM_024562,1094
BMERB1,NM_033201,204
MNT,NM_020310,582
SPEM1,NM_199339,309
KIAA0100,NM_014680,2235
MYH3,NM_002470,1940
KLHDC4,NM_017566,520
MLYCD,NM_012213,493
ATXN1L,NM_001137675,689
MYO15A,NM_016239,3530
STX8,NM_004853,236
VAC14,NM_018052,782
RBBP6,NM_006910,1792
PIRT,NM_001101387,137
TGFB1I1,NM_001042454,461
LGALS9,NM_009587,355
KNOP1,NM_001012991,458
AP2B1,NM_001030006,951
PLD6,NM_178836,252
WSB1,NM_015626,421
ERI2,NM_001142725,691
SMCR8,NM_144775,937
CRLF3,NM_015986,442
ANKFY1,NM_001330063,1169
ALDOC,NM_005165,364
ADGRG5,NM_001304376,528
MAPK7,NM_002749,816
SGF29,NM_138414,293
POLR3E,NM_018119,708
COX6A2,NM_005205,97
ATPAF2,NM_145691,289
BFAR,NM_016561,450
CMTM3,NM_181553,182
OSGIN1,NM_182981,477
OMG,NM_002544,440
ABAT,NM_020686,500
TAOK2,NM_016151,1235
ZNF276,NM_001113525,614
NUDT21,NM_007006,227
PITPNM3,NM_031220,974
C16orf54,NM_175900,224
PSMD7,NM_002811,324
IL21R,NM_181078,538
SLC25A35,NM_001320870,300
NOB1,NM_014062,412
DHX38,NM_014003,1227
ACSM2A,NM_001308172,577
C16orf71,NM_139170,520
MVD,NM_002461,400
CIAO2B,NM_016062,163
FOPNL,NM_144600,174
FNDC8,NM_017559,324
ZNF263,NM_005741,683
FOXF1,NM_001451,379
PSMD11,NM_002815,422
PHF12,NM_001033561,1004
VPS4A,NM_013245,437
MYLK3,NM_182493,819
ZC3H7A,NM_014153,971
INPP5K,NM_016532,448
SHBG,NM_001040,402
NEURL4,NM_032442,1562
ANKS4B,NM_145865,417
ATMIN,NM_015251,823
MYH1,NM_005963,1939
NOMO3,NM_001004067,1222
ZFP3,NM_153018,502
TMEM98,NM_015544,226
CLUAP1,NM_015041,413
ZSCAN32,NM_001284527,697
ZNF624,NM_020787,865
ZNF287,NM_020653,761
PYCARD,NM_013258,195
DYNC1LI2,NM_006141,492
CRISPLD2,NM_031476,497
USP7,NM_003470,1102
MBTPS1,NM_003791,1052
RPGRIP1L,NM_015272,1315
WWOX,NM_016373,414
EVPLL,NM_001145127,301
CIAPIN1,NM_020313,312
TMEM256,NM_152766,113
TXNL4B,NM_017853,149
HES7,NM_001165967,230
ERAL1,NM_005702,437
AKAP10,NM_007202,662
ARRB2,NM_004313,409
ZFP90,NM_001305203,636
FA2H,NM_024306,372
OVCA2,NM_080822,227
CBLN1,NM_004352,193
TBC1D10B,NM_015527,808
MGRN1,NM_015246,576
PEX12,NM_000286,359
DCUN1D3,NM_173475,304
DOC2A,NM_003586,400
EDC4,NM_014329,1401
VKORC1,NM_024006,163
NSMCE1,NM_145080,266
NT5M,NM_020201,228
SCARF1,NM_003693,830
DCTN5,NM_032486,182
CDT1,NM_030928,546
CDH1,NM_004360,882
STX1B,NM_052874,288
DEXI,NM_014015,95
ORAI3,NM_152288,295
TERF2,NM_005652,542
UBALD1,NM_145253,177
CYB5D1,NM_144607,228
SLC12A4,NM_005072,1085
ALOX12,NM_000697,663
BBS2,NM_031885,721
STX4,NM_004604,297
CMTM2,NM_144673,248
CDH16,NM_004062,829
MEAK7,NM_020947,456
PLEKHG4,NM_001129729,1191
HS3ST3B1,NM_006041,390
TIMM22,NM_013337,194
IRF8,NM_002163,426
CDH13,NM_001257,713
MOSMO,NM_001164579,167
AKTIP,NM_022476,292
COQ7,NM_016138,217
RANBP10,NM_020850,620
USP43,NM_153210,1123
ABCC1,NM_004996,1531
EEF2K,NM_013302,725
ZKSCAN2,NM_001012981,967
NUP93,NM_014669,819
RSPRY1,NM_133368,576
TUFM,NM_003321,455
GSE1,NM_014615,1217
IRX3,NM_024336,501
PIMREG,NM_019013,238
CARHSP1,NM_014316,147
DPEP2,NM_022355,486
MAP1LC3B,NM_022818,125
SRR,NM_021947,340
SGSM2,NM_014853,1051
SPACA3,NM_173847,215
CORO7,NM_024535,925
TRAP1,NM_016292,704
TEFM,NM_024683,360
CTCF,NM_006565,727
CARMIL2,NM_001013838,1435
RIPOR1,NM_024519,1219
SPEM2,NM_175734,501
DNAAF1,NM_178452,725
TMED6,NM_144676,240
USP22,NM_015276,525
C16orf58,NM_022744,468
VAMP2,NM_014232,116
CCT6B,NM_006584,530
MT2A,NM_005953,61
CNOT1,NM_016284,2376
TPPP3,NM_015964,176
HEATR3,NM_182922,680
DOC2B,NM_003585,412
CPD,NM_001304,1380
GINS2,NM_016095,185
SLC6A4,NM_001045,630
RNF112,NM_007148,631
FLCN,NM_144997,579
TLCD2,NM_001164407,264
CHP2,NM_022097,196
MPV17L,NM_001128423,196
SCNN1B,NM_000336,640
SPAG5,NM_006461,1193
PAFAH1B1,NM_000430,410
CENPT,NM_025082,561
GSPT1,NM_002094,637
CFAP20,NM_013242,193
APOBR,NM_018690,1097
SPNS2,NM_001124758,549
HMOX2,NM_002134,316
FBXO39,NM_153230,442
HSD3B7,NM_025193,369
CDK10,NM_052988,360
EVI2B,NM_006495,448
RTN4RL1,NM_178568,441
NAA60,NM_001083601,242
MARF1,NM_014647,1742
BCKDK,NM_005881,412
MYO1D,NM_015194,1006
GOT2,NM_002080,430
GTF3C1,NM_001520,2109
MTSS2,NM_138383,747
ADAP2,NM_018404,381
TOP3A,NM_004618,1001
DERL2,NM_016041,239
LYRM1,NM_001128302,122
EIF5A,NM_001970,154
PEMT,NM_148172,236
SULT1A2,NM_001054,295
SNN,NM_003498,88
BCAR1,NM_014567,870
KCTD19,NM_001100915,926
RRAD,NM_004165,308
RBL2,NM_005611,1139
GP1BA,NM_000173,652
ALKBH5,NM_017758,394
CDH11,NM_001797,796
ZNF267,NM_003414,743
RNF135,NM_032322,432
MT1A,NM_005946,61
NCOR1,NM_006311,2440
NUBP1,NM_002484,320
CHRNB1,NM_000747,501
ST3GAL2,NM_006927,350
TAX1BP3,NM_014604,124
ZNF668,NM_024706,619
SLC7A6,NM_003983,515
TLCD3A,NM_024792,257
EMC6,NM_031298,110
CCL2,NM_002982,99
