ProteinID,Gene,Length
NP_001139,ANK2,3957
NP_001139008,C17orf107,190
NP_001139014,ZSCAN18,566
NP_001139017,C16orf82,154
NP_001139020,ZDHHC7,345
NP_001139108,ARMH1,440
NP_001139110,GPSM1,675
NP_001139113,SRRM5,715
NP_001139115,PHGR1,82
NP_001139124,C6orf141,244
NP_001139131,CTAGE9,777
NP_001139136,RFX8,473
NP_001139140,CTXN2,81
NP_001139150,KIAA0825,1275
NP_001139182,FAM228B,324
NP_001139184,NUPR2,97
NP_001139187,KPNA7,516
NP_001139189,PNPLA1,532
NP_001139190,CT47B1,299
NP_001139192,ZBTB8B,495
NP_001139200,LMNTD1,409
NP_001139256,BORCS8,119
NP_001139257,MEF2B,368
NP_001139266,ANTXR2,489
NP_001139267,SH2B1,756
NP_001139280,ITGAM,1153
NP_001139281,MYH14,2036
NP_001139287,AMDHD2,594
NP_001139291,SOX6,828
NP_001139311,MTFR1,348
NP_001139328,SH3BP2,618
NP_001139334,MTMR11,709
NP_001139373,SARS2,520
NP_001139400,SAP130,1083
NP_001139418,SLCO1C1,730
NP_001139434,SLC12A4,1087
NP_001139443,RDH13,331
NP_001139447,SLC13A2,641
NP_001139478,IGFALS,643
NP_001139488,TJAP1,557
NP_001139505,OR56A5,313
NP_001139512,GLRA1,457
NP_001139513,KRTAP4-9,210
NP_001139542,TDRD3,744
NP_001139629,FAM25A,89
NP_001139634,TRIM77,450
NP_001139643,TATDN3,281
NP_001139647,ZNF414,390
NP_001139654,KRTAP16-1,517
NP_001139669,CCDC168,7081
NP_001139682,SPDYE6,402
NP_001139693,MANSC4,340
NP_001139699,RPS20,142
NP_001139733,SYT14,619
NP_001139748,NCEH1,416
NP_001139784,MYOCD,986
NP_001139791,GRAMD2B,447
NP_001139806,NACAD,1562
NP_001139808,TMEM114,223
NP_001139811,VSTM2B,285
NP_001139812,NKX1-2,310
NP_001139813,ANKRD34C,535
NP_001139816,PRAMEF11,478
NP_001140155,TMEM253,217
NP_001140156,RNF222,220
NP_001140157,TMEM88B,163
NP_001140158,GMNC,334
NP_001140177,KDM5D,1570
NP_001141,ANPEP,967
NP_001142,SLC25A4,298
NP_001143,SLC25A5,298
NP_001144,ANXA4,321
NP_001145,ANXA5,320
NP_001146,ANXA6,673
NP_001146956,SCOC,159
NP_001148,ANXA11,505
NP_001149946,CCDC81,652
NP_001150,AOX1,1338
NP_001152,NUDT2,147
NP_001152751,ZNF716,495
NP_001152759,TPI1,286
NP_001152765,ZNF737,536
NP_001152794,PLA2G4C,551
NP_001152849,MTHFSD,383
NP_001152967,BANF2,97
NP_001152994,ZNF727,499
NP_001152996,ZNF735,412
NP_001153014,POU5F1B,359
NP_001153048,SCNN1A,728
NP_001153174,FHL1,323
NP_001153242,SLC39A11,342
NP_001153408,EBNA1BP2,361
NP_001153416,EVI5L,805
NP_001153508,RHOBTB2,749
NP_001153514,IQCC,546
NP_001153585,C15orf40,167
NP_001153605,KCNQ5,951
NP_001153620,DDHD1,900
NP_001153647,NAT1,352
NP_001153682,SLC25A13,676
NP_001153715,RPAIN,231
NP_001153777,SETD6,473
NP_001153797,OR6P1,317
NP_001153861,TRPT1,255
NP_001153880,TULP3,501
NP_001154,APBA1,837
NP_001154806,H2BC18,134
NP_001154816,CHFR,664
NP_001154824,KCNMA1,1236
NP_001154829,FCHO1,891
NP_001154848,C6orf136,496
NP_001154913,SH2D2A,399
NP_001154970,PLEKHD1,506
NP_001154993,KLHL2,597
NP_001155,APBB1,710
NP_001155000,LRRD1,860
NP_001155002,CSF2RA,434
NP_001155018,PROB1,1015
NP_001155088,RGL3,716
NP_001155097,NXNL2,156
NP_001155102,KDM4E,506
NP_001155133,WWC1,1119
NP_001155251,PDP1,562
NP_001155306,SPATA48,438
NP_001155843,LOC728392,119
NP_001155855,ARHGEF2,986
NP_001155879,CLK1,526
NP_001155901,PDCD6IP,873
NP_001155907,ANKRD66,251
NP_001155963,ARL13A,256
NP_001155971,CAND2,1236
NP_001155973,TNRC6B,1833
NP_001156,BIRC3,604
NP_001156002,SH3D21,756
NP_001156386,CCDC166,439
NP_001156408,SMIM9,99
NP_001156467,SMIM5,77
NP_001156469,SMIM6,62
NP_001156547,C17orf99,265
NP_001156685,FGFR3,808
NP_001156729,PLXNB3,1932
NP_001156730,MINDY1,517
NP_001156750,TENM1,2732
NP_001156787,FBXL17,701
NP_001156793,CCDC120,696
NP_001156806,SYTL5,752
NP_001156863,ZSCAN12,611
NP_001156907,TBCK,893
NP_001156910,SMIM10,83
NP_001157,BIRC2,618
NP_001157032,MEIOB,471
NP_001157033,STPG4,248
NP_001157101,MROH9,861
NP_001157118,HTR3D,454
NP_001157164,UBAP1L,381
NP_001157196,SMIM1,78
NP_001157207,MYO19,970
NP_001157281,WDR81,1941
NP_001157329,TEX33,280
NP_001157394,VSIG10L,867
NP_001157413,ABCB5,1257
NP_001157461,RAB37,228
NP_001157637,GPR75-ASB3,556
NP_001157650,ENTPD1,522
NP_001157683,LRCH1,763
NP_001157733,PPIAL4D,164
NP_001157734,PPIAL4F,164
NP_001157745,MGA,3065
NP_001157748,ZNF44,663
NP_001157750,SLC37A4,451
NP_001157789,FLNB,2633
NP_001157814,ZBTB20,741
NP_001157844,GPN3,323
NP_001157847,C10orf105,133
NP_001157849,MRGPRG,289
NP_001157851,FAM180B,183
NP_001157852,STAU2,570
NP_001157858,RAPGEF6,1609
NP_001157869,TRIM64B,449
NP_001157871,CCDC175,793
NP_001157876,GOLGA6C,693
NP_001157877,BHLHA9,235
NP_001157879,TLCD2,264
NP_001157887,HSFX2,423
NP_001157888,H2BW2,154
NP_001157891,MBD3L4,208
NP_001157897,MBD3L3,208
NP_001157903,ARHGAP40,674
NP_001157906,KRTAP22-2,45
NP_001157907,KRTAP21-3,58
NP_001157908,TMEM212,194
NP_001157912,ANKRD33B,494
NP_001157914,SHISAL2B,160
NP_001157916,CBY3,242
NP_001157918,C6orf132,1188
NP_001157929,ZNF705G,300
NP_001157930,ACTR3C,210
NP_001157932,STEAP1B,342
NP_001157934,MUC12,5335
NP_001157935,RGPD8,1765
NP_001157936,TRIM43B,446
NP_001157937,GOLGA6L10,522
NP_001157940,TMED7-TICAM2,404
NP_001157943,TSPY4,314
NP_001157945,FNBP1L,605
NP_001157951,C5orf63,138
NP_001157956,FAM170B,283
NP_001157968,CFAP44,1854
NP_001158,XIAP,497
NP_001158009,DISC1,886
NP_001158051,MOSMO,167
NP_001158058,IGFN1,3708
NP_001158067,PDZRN4,1036
NP_001158089,GPC3,603
NP_001158136,MAST4,2623
NP_001158137,KIAA1549,1950
NP_001158157,THEMIS,680
NP_001158166,IYD,293
NP_001158187,ZNF605,672
NP_001158209,CALCR,490
NP_001158213,ARHGAP4,986
NP_001158218,RASSF8,419
NP_001158221,NPAS3,933
NP_001158243,SLC7A2,698
NP_001158283,PET117,81
NP_001158312,LYRM4,130
NP_001158724,KRTAP2-3,128
NP_001158886,LDHA,361
NP_001159349,ATP5MGL,100
NP_001159403,RRM2,449
NP_001159430,GSDMB,416
NP_001159432,ALOXE3,843
NP_001159435,SCN1A,2009
NP_001159439,HES7,230
NP_001159446,UROC1,736
NP_001159475,APOBEC3H,200
NP_001159477,EPB41,864
NP_001159506,SBSN,590
NP_001159580,PALLD,1123
NP_001159583,PNPLA6,1375
NP_001159603,EME1,583
NP_001159609,SPATA31C2,1134
NP_001159611,LCORL,602
NP_001159632,PPP1R9A,1374
NP_001159680,SYNPO,929
NP_001159694,CARNS1,950
NP_001159725,TBXAS1,579
NP_001159755,RGMA,458
NP_001159776,PIGX,276
NP_001159777,TMEM44,475
NP_001159811,SPDYE2B,402
NP_001159845,MARCHF1,289
NP_001159976,ADH7,394
NP_001160,AQP8,261
NP_001160051,AANAT,252
NP_001160135,CD244,370
NP_001160164,C11orf91,193
NP_001160165,AFF1,1218
NP_001160171,FAM104B,116
NP_001161,AQP7,342
NP_001161067,AMACR,394
NP_001161071,NEU4,497
NP_001161148,FAM229A,127
NP_001161206,VARS2,1093
NP_001161212,SMYD3,428
NP_001161299,TFEB,490
NP_001161328,SBNO1,1393
NP_001161339,DMAC2,263
NP_001161362,EGFL6,554
NP_001161403,IL1RAP,687
NP_001161419,TIMM17B,222
NP_001161458,INCA1,236
NP_001161686,C3orf80,247
NP_001161693,C2CD6,1820
NP_001161707,FREM3,2139
NP_001161713,GAREM2,874
NP_001161715,C4orf48,128
NP_001161726,OCIAD1,250
NP_001161744,ITPR1,2743
NP_001161771,KLHL13,658
NP_001161819,NSUN5,470
NP_001161842,CUL7,1782
NP_001161850,ZIC4,384
NP_001161861,CITED2,275
NP_001161871,BEX2,160
NP_001161937,MAP7D2,773
NP_001161940,PDZD3,505
NP_001162,ABCC6,1503
NP_001162589,STIM2,754
NP_001163,ARG2,354
NP_001163801,C4orf3,199
NP_001163802,LANCL3,420
NP_001163873,CDC20B,519
NP_001163887,TJP2,1221
NP_001163931,CDK16,570
NP_001164014,PGAM5,289
NP_001164024,VSIG1,423
NP_001164058,HHAT,494
NP_001164100,CHD8,2581
NP_001164102,FCAMR,577
NP_001164104,C12orf56,622
NP_001164106,PLPPR2,427
NP_001164163,CAGE1,839
NP_001164171,DTHD1,906
NP_001164185,BCAR1,916
NP_001164197,GPR137,475
NP_001164209,IQSEC3,1182
NP_001164212,NUTM2G,741
NP_001164218,PIN4,133
NP_001164225,C1orf127,823
NP_001164261,MFSD5,557
NP_001164266,ATRAID,229
NP_001164269,SLC15A5,579
NP_001164291,IFITM10,228
NP_001164376,ZNF736,427
NP_001164432,IGSF1,1341
NP_001164626,PET100,73
NP_001164638,CAMTA2,1241
NP_001164645,CX3CR1,387
NP_001164654,EFCAB9,197
NP_001164663,GDPD2,590
NP_001164672,UBAP1,566
NP_001165081,LDB3,732
NP_001165102,NOSTRIN,563
NP_001165131,CYB5R3,334
NP_001165161,GCAT,445
NP_001165218,C3orf52,250
NP_001165266,TRIQK,86
NP_001165347,MCF2,1001
NP_001165377,NUDT16,227
NP_001165450,ZNF829,513
NP_001165694,MOB2,268
NP_001165906,RAB3GAP1,988
NP_001165908,PEG10,784
NP_001165910,ENDOU,410
NP_001165948,RRM2B,423
NP_001165975,SLC6A2,628
NP_001166,ARHGDIB,201
NP_001166038,MYD88,304
NP_001166109,ZFP62,900
NP_001166121,ZNF559-ZNF177,321
NP_001166122,ZNF177,481
NP_001166126,ZNF701,531
NP_001166140,ZNF668,642
NP_001166145,ZNF347,840
NP_001166161,ZNF573,665
NP_001166167,TSFM,346
NP_001166171,SHROOM1,852
NP_001166173,SLC38A6,521
NP_001166184,GOLGA4,2243
NP_001166244,ZNF548,545
NP_001166250,LRRC34,464
NP_001166289,PGM1,580
NP_001166302,ZNF300,620
NP_001166925,PDHA1,428
NP_001166935,KIF21A,1674
NP_001166994,PCDH7,1255
NP_001167,ARHGDIG,225
NP_001167014,BANP,519
NP_001167455,BRD7,652
NP_001167459,RABL6,730
NP_001167462,TMEM216,148
NP_001167522,CACNA2D2,1150
NP_001167538,FGFR1,853
NP_001167543,SERINC5,461
NP_001167561,SLC4A11,918
NP_001167567,ZEB1,1125
NP_001167574,RSKR,410
NP_001167579,ZBED6,979
NP_001167587,DMXL2,3037
NP_001167589,MEX3D,666
NP_001167594,C18orf63,685
NP_001167596,SLC11A2,590
NP_001167617,LMX1B,406
NP_001167627,SAMD8,415
NP_001167635,PRRT4,899
NP_001168,ARL1,181
NP_001170853,CPEB2,1034
NP_001170858,ATXN7,945
NP_001170936,MAMLD1,998
NP_001170977,AOAH,688
NP_001171062,PPP2R2A,457
NP_001171070,SUCLG2,440
NP_001171172,IFT27,186
NP_001171467,PHETA1,262
NP_001171481,CDC45,598
NP_001171485,PCCB,559
NP_001171488,DBI,148
NP_001171491,BEAN1,259
NP_001171501,SF1,673
NP_001171506,CEP85L,808
NP_001171532,SEMA6C,962
NP_001171536,CASR,1088
NP_001171564,BCAT1,398
NP_001171569,CD19,557
NP_001171577,ZNF185,721
NP_001171597,IGLL5,214
NP_001171605,CXCL12,140
NP_001171610,TFDP2,446
NP_001171620,NPNT,595
NP_001171634,HADH,331
NP_001171643,SLAMF6,332
NP_001171668,TSSK4,338
NP_001171669,CTTN,634
NP_001171701,BCORL1,1785
NP_001171712,VDAC2,309
NP_001171725,ESYT1,1114
NP_001171795,FCRLA,365
NP_001171808,CD84,345
NP_001171809,PCDH19,1148
NP_001171825,PHF8,1060
NP_001171829,CARD8,537
NP_001171846,PCYT2,407
NP_001171869,FAM219A,185
NP_001171914,WNK1,2642
NP_001171940,NCAPH2,606
NP_001171953,ZDHHC8,778
NP_001172,ASGR2,311
NP_001172014,ATP12A,1045
NP_001172019,GRIN1,943
NP_001172024,AIF1L,176
NP_001172035,PLCXD2,305
NP_001172078,CLDN24,220
NP_001172085,IL24,207
NP_001172112,VAMP7,260
NP_001173,ALDH7A1,539
NP_001174,ATP6AP1,470
NP_001175,ATR,2644
NP_001176,AZGP1,298
NP_001177,BACH1,736
NP_001177087,CES5A,604
NP_001177157,RNF224,156
NP_001177188,GCSAM,180
NP_001177203,FBXO11,927
NP_001177370,LGALS16,142
NP_001177381,MTRNR2L1,24
NP_001177384,CHRNA7,531
NP_001177389,KRTAP9-1,250
NP_001177391,C11orf97,126
NP_001177396,PRR36,1346
NP_001177397,GDNF,228
NP_001177399,MTRNR2L2,28
NP_001177401,MTRNR2L3,24
NP_001177405,MTRNR2L4,28
NP_001177407,MTRNR2L5,24
NP_001177408,ANKRD63,380
NP_001177416,MTRNR2L6,24
NP_001177418,MTRNR2L7,24
NP_001177631,MTRNR2L8,24
NP_001177635,MTRNR2L9,24
NP_001177637,MTRNR2L10,24
NP_001177693,TMEM238,176
NP_001177694,KLRF2,207
NP_001177695,STMND1,276
NP_001177716,MCIDAS,385
NP_001177719,CDRT15L2,281
NP_001177739,AGAP9,658
NP_001177740,DAZL,315
NP_001177768,MGP,128
NP_001177773,TMEM221,291
NP_001177779,CNOT4,713
NP_001177875,FAM193B,822
NP_001177901,C8orf88,117
NP_001177908,YAF2,204
NP_001177958,PRR29,236
NP_001177984,ERVV-2,535
NP_001177987,PDE1C,769
NP_001179,BAK1,211
NP_001180,NKX3-2,333
NP_001180197,EML2,850
NP_001180211,CFAP99,646
NP_001180218,APOBEC3A_B,199
NP_001180237,SYTL1,562
NP_001180240,SUGCT,471
NP_001180258,AOPEP,819
NP_001180265,SEC14L6,397
NP_001180270,RSPH9,306
NP_001180276,MEF2C,483
NP_001180289,EXD2,621
NP_001180304,NDUFA11,228
NP_001180353,SUV39H2,410
NP_001180386,IFFO1,571
NP_001180418,SECISBP2L,1101
NP_001180431,TCF24,167
NP_001180440,MAP3K12,892
NP_001180442,SLC30A6,501
NP_001180449,RASAL1,806
NP_001180452,RIPOR1,1239
NP_001180460,TMEM116,337
NP_001180461,RAB42,218
NP_001180481,ZNF850,1090
NP_001180550,PINLYP,204
NP_001180552,C19orf84,186
NP_001180557,SMIM17,118
NP_001180559,ZNF705B,300
NP_001181,BCAT2,392
NP_001181875,EIF4G1,1606
NP_001181887,KCNJ18,433
NP_001181915,TRABD2B,517
NP_001181927,CEP152,1710
NP_001181936,PPIE,314
NP_001181982,DDIT3,192
NP_001182005,C19orf81,198
NP_001182010,CLDN34,214
NP_001182011,TEX22,150
NP_001182053,C16orf95,239
NP_001182060,TSTD3,97
NP_001182061,CDKN2A,167
NP_001182064,RNF225,329
NP_001182067,GIMD1,217
NP_001182079,ATP6V1FNB,176
NP_001182085,TMEM35B,154
NP_001182119,TEX50,177
NP_001182144,DENND1B,775
NP_001182149,ZNF783,546
NP_001182152,ALG1L,207
NP_001182157,PIMREG,248
NP_001182163,TRIM49C,452
NP_001182172,SMKR1,65
NP_001182185,GFY,518
NP_001182186,DEFB130B,79
NP_001182188,TGFBR3L,316
NP_001182192,PDZD7,1033
NP_001182201,TEX13C,993
NP_001182207,TMEM178B,294
NP_001182208,MKRN2OS,223
NP_001182209,LRRC72,287
NP_001182233,BBIP1,103
NP_001182310,GPR35,340
NP_001182317,FCRL5,998
NP_001182361,MLF1,299
NP_001182371,FAM240A,83
NP_001182399,SATB1,795
NP_001182449,LRCOL1,159
NP_001182451,MPC1L,136
NP_001182457,TPBGL,382
NP_001182464,LOC100505841,121
NP_001182470,TMEM225B,221
NP_001182474,LRRC3C,275
NP_001182484,CLINT1,643
NP_001182500,PRR9,116
NP_001182505,TRPC5OS,111
NP_001182510,ARL14EPL,152
NP_001182526,SMLR1,107
NP_001182534,ZNF865,1059
NP_001182555,MLLT10,1068
NP_001182566,CCDC179,68
NP_001182665,PRXL2B,216
NP_001182682,THAP3,239
NP_001182723,CLRN1,245
NP_001182760,CFAP57,1283
NP_001182762,RINL,566
NP_001183,TNFRSF17,184
NP_001183955,PLEKHA8,519
NP_001184033,KMT2A,3972
NP_001184042,IQCJ-SCHIP1,563
NP_001184051,IRF3,452
NP_001184113,GPR33,333
NP_001184216,OR11H2,326
NP_001184222,DPYSL2,677
NP_001184223,DPYSL3,684
NP_001185,HCN2,889
NP_001185461,OXR1,874
NP_001185487,SIGLEC9,479
NP_001185538,MAP7,779
NP_001185599,TLCD5,267
NP_001185608,RUNX1T1,663
NP_001185610,LEPROT,140
NP_001185624,MFAP4,279
NP_001185648,RBBP7,469
NP_001185650,PRR5,411
NP_001185688,LY75-CD302,1873
NP_001185707,CUL2,764
NP_001185709,ARPC4,187
NP_001185713,C15orf65,121
NP_001185722,ARPC4-TTLL3,625
NP_001185728,ASCC1,400
NP_001185730,EIF4G3,1621
NP_001185741,MSANTD3-TMEFF1,454
NP_001185748,A1CF,602
NP_001185758,LIPF,408
NP_001185774,RBM14-RBM4,339
NP_001185791,PACC1,411
NP_001185808,ATP5MF-PTCD1,749
NP_001185832,YY1AP1,888
NP_001185837,CCDC169,241
NP_001185838,ATP6V1F,147
NP_001185839,CCDC169-SOHLH2,502
NP_001185863,ABCC10,1492
NP_001185879,MYO16,1880
NP_001185882,ZFYVE21,252
NP_001185883,RNF103-CHMP3,251
NP_001185885,DCAF6,951
NP_001185890,ECHDC2,292
NP_001185903,STIMATE-MUSTN1,372
NP_001185915,EPPIN-WFDC6,179
NP_001185923,NADK,591
NP_001185941,STPG1,334
NP_001185946,LRRC49,691
NP_001185951,CCP110,1012
NP_001185967,SERINC2,464
NP_001185971,STRA6,706
NP_001185979,LEMD1,181
NP_001185987,ARPIN-AP3S2,394
NP_001186,BFSP1,665
NP_001186014,TDRD5,1035
NP_001186016,NT5C1B,627
NP_001186032,NT5C1B-RDH14,650
NP_001186036,TBC1D24,559
NP_001186048,TRIM39-RPP21,503
NP_001186049,RPP21,162
NP_001186109,ATP2C1,973
NP_001186125,ARMC6,501
NP_001186127,TBC1D23,699
NP_001186130,ZBBX,839
NP_001186135,IZUMO1R,250
NP_001186136,GTF2IRD1,976
NP_001186143,STMN2,187
NP_001186162,TEX48,120
NP_001186219,PHOSPHO2-KLHL23,558
NP_001186220,HSD17B4,761
NP_001186224,ZNF549,640
NP_001186284,RPL17-C18orf32,228
NP_001186309,RNF145,693
NP_001186326,NEK1,1286
NP_001186346,ARHGAP23,1491
NP_001186384,BRD2,836
NP_001186398,ISY1,307
NP_001186408,ZSCAN9,445
NP_001186464,TGIF2-RAB5IF,155
NP_001186506,GIMAP1-GIMAP5,511
NP_001186508,SUN2,738
NP_001186552,CIDEC,251
NP_001186564,ADCYAP1R1,496
NP_001186583,PMF1,207
NP_001186590,PMF1-BGLAP,220
NP_001186600,CALU,323
NP_001186620,TLCD4-RWDD3,201
NP_001186673,SAA2-SAA4,208
NP_001186689,ST20-MTHFS,179
NP_001186710,POC1B-GALNT4,575
NP_001186728,ILDR1,546
NP_001186734,KLRC4-KLRK1,216
NP_001186747,ARMCX5-GPRASP2,838
NP_001186752,NEDD8-MDP1,193
NP_001186753,SBK3,359
NP_001186791,KCNAB2,415
NP_001186793,BCL2L2-PABPN1,333
NP_001186795,KIF16B,1392
NP_001186796,MARK4,752
NP_001186804,SERF2,170
NP_001186846,PGM3,570
NP_001186867,EBLN1,366
NP_001186871,DOP1A,2476
NP_001186902,RPL36A-HNRNPH2,118
NP_001186907,PLSCR2,297
NP_001186913,NDUFS1,741
NP_001186978,CFAP46,2715
NP_001186983,PMEL,668
NP_001188,BIK,160
NP_001188267,SAFB,917
NP_001188292,HMGN3,130
NP_001188309,CNTNAP3B,1288
NP_001188326,EDNRB,532
NP_001188336,ZNF778,757
NP_001188356,DAAM2,1068
NP_001188386,TEX14,1497
NP_001188408,CORO7-PAM16,1048
NP_001188409,OSBPL6,959
NP_001188472,FAM161A,716
NP_001188479,CFHR4,578
NP_001188481,ZNF821,412
NP_001189,PRDM1,825
NP_001189163,NR4A1,652
NP_001189335,ZNF559,602
NP_001189358,ASB2,635
NP_001189367,EDRF1,1238
NP_001189368,NCR3LG1,454
NP_001189399,RPS10-NUDT3,291
NP_001189402,ZNF816-ZNF321P,233
NP_001189404,CRHR2,438
NP_001189414,HSPE1-MOB4,261
NP_001189472,CUX1,1516
NP_001189476,SYNJ2BP-COX16,191
NP_001189488,CHURC1-FNTB,498
NP_001189489,BUD23,298
NP_001189787,ECM1,567
NP_001190189,NDUFC2-KCTD14,134
NP_001190991,COMMD3-BMI1,469
NP_001191,BMP2,396
NP_001191012,MICOS10,140
NP_001191016,KCNN3,746
NP_001191017,MICOS10-NBL1,195
NP_001191028,CKLF-CMTM1,168
NP_001191047,CLEC17A,378
NP_001191102,C8orf44-SGK3,496
NP_001191109,ZHX1-C8orf76,292
NP_001191139,TMEM235,223
NP_001191147,NOS1,1468
NP_001191169,TBC1D10A,515
NP_001191197,FXYD6-FXYD2,144
NP_001191228,ZNF664-RFLNA,135
NP_001191236,GC,493
NP_001191304,NPR3,541
NP_001191335,ALOX5AP,218
NP_001191354,BIVM-ERCC5,1640
NP_001191379,CCPG1,807
NP_001191397,RBM10,995
NP_001191406,CDRT4,152
NP_001191407,TVP23C-CDRT4,164
NP_001191442,RBAK-RBAKDN,113
NP_001191455,SSR4,184
NP_001191676,RFC1,1148
NP_001191732,ANO6,931
NP_001191740,MAGEA10-MAGEA5,124
NP_001191747,ZNF587B,402
NP_001191777,TNFAIP8L2-SCNM1,195
NP_001191800,URGCP-MRPS24,110
NP_001191819,ISY1-RAB43,331
NP_001191826,TM4SF19,242
NP_001191948,GK,559
NP_001192,BMP3,472
NP_001192048,ATG13,550
NP_001192181,RNF223,249
NP_001192188,TP53TG3C,124
NP_001192195,DEFB4B,64
NP_001192201,KRBOX1,128
NP_001192202,THEG5,148
NP_001192209,IGSF23,192
NP_001192222,CACNA1E,2313
NP_001192230,EGFLAM,1017
NP_001192246,RIMS4,270
NP_001193538,SELPLG,428
NP_001193541,CHTOP,249
NP_001193545,EHF,322
NP_001193555,TRIM49B,452
NP_001193556,TRIM49D1,452
NP_001193560,TRIM64C,450
NP_001193570,COA6,155
NP_001193580,SH3GLB1,394
NP_001193599,PLA2G4E,868
NP_001193600,RIC3,369
NP_001193602,ABHD12B,362
NP_001193620,RFX4,744
NP_001193638,PRKAG1,340
NP_001193665,NSFL1C,372
NP_001193668,ITGB3BP,216
NP_001193725,PKM,605
NP_001193776,SMIM18,95
NP_001193856,DNAH8,4707
NP_001193858,AGER,420
NP_001193872,CSPG5,566
NP_001193910,ODAPH,176
NP_001193922,NR1H4,486
NP_001193926,CFAP299,250
NP_001193927,ZNRF3,936
NP_001193928,CIT,2069
NP_001193939,CLEC12A,275
NP_001193946,SMTN,1002
NP_001193954,POU2F2,479
NP_001193981,TMEM191C,347
NP_001193997,BZW1,451
NP_001195,BMPR2,1038
NP_001197,KLF9,244
NP_001202,BUB1B,1050
NP_001203,C1QBP,282
NP_001207,CA9,459
NP_001207417,CDH13,760
NP_001207422,DHRS7C,312
NP_001208,CA11,328
NP_001209,CA12,354
NP_001211,CAMK2B,666
NP_001216,CASP4,377
NP_001217,CASP6,293
NP_001220,CASP9,416
NP_001222,CASQ1,396
NP_001223,CASQ2,399
NP_001224,CAV2,162
NP_001225,CAV3,151
NP_001226,SERPINH1,418
NP_001227,CBR3,277
NP_001228,CCNA2,432
NP_001229,CCNE1,410
NP_001229236,PITRM1,1038
NP_001229239,EDA2R,318
NP_001229242,TMEM191B,346
NP_001229247,PDE7A,482
NP_001229255,USP17L25,530
NP_001229256,USP17L24,530
NP_001229257,USP17L26,530
NP_001229258,USP17L5,530
NP_001229259,USP17L27,530
NP_001229260,USP17L28,530
NP_001229261,USP17L29,530
NP_001229291,MAGED4B,757
NP_001229298,CACFD1,233
NP_001229313,SYTL3,610
NP_001229326,TWF1,357
NP_001229328,GHR,645
NP_001229338,GAREM1,876
NP_001229371,GRB7,555
NP_001229402,C16orf97,126
NP_001229409,LOC389831,120
NP_001229417,ZSWIM8,1892
NP_001229427,MIF4GD,263
NP_001229434,GDA,471
NP_001229450,TEX46,121
NP_001229510,RIN2,944
NP_001229536,NCAM1,884
NP_001229543,CD99L2,272
NP_001229588,FNDC10,226
NP_001229601,TTC34,1079
NP_001229609,ZNF729,1252
NP_001229628,ENO4,625
NP_001229633,ZNF385C,424
NP_001229642,LOC100289561,102
NP_001229658,ARHGEF38,777
NP_001229668,ZNF691,315
NP_001229696,MTHFD1L,979
NP_001229735,BRDT,951
NP_001229738,ANKRD6,727
NP_001229752,C4B_2,1744
NP_001229757,ELOVL5,326
NP_001229766,AP2A2,940
NP_001229769,GUK1,241
NP_001229778,RNF146,359
NP_001229782,DEFB131B,70
NP_001229783,ARFIP2,374
NP_001229797,SLAIN1,590
NP_001229804,ELP2,891
NP_001229814,LOC100287036,125
NP_001229820,CSDE1,844
NP_001229825,DEPDC5,1603
NP_001229836,ELOA3D,546
NP_001229851,CT47A12,288
NP_001229853,ZNF410,516
NP_001229861,LSP1,467
NP_001229862,SNX1,557
NP_001229868,FAM47E-STBD1,351
NP_001229886,MAK,648
NP_001229936,PROX2,592
NP_001230008,PLK5,336
NP_001230013,HIF1A,850
NP_001230022,FYB1,839
NP_001230097,PTCRA,296
NP_001230106,ALDOA,418
NP_001230115,PIM1,404
NP_001230141,CCER2,266
NP_001230155,TCF4,773
NP_001230166,C8orf89,161
NP_001230175,P3H1,804
NP_001230261,SEZ6L2,923
NP_001230280,NUB1,639
NP_001230402,B9D1,257
NP_001230447,ESRRG,470
NP_001230460,UBE2Q2L,131
NP_001230467,LOC283710,134
NP_001230469,CEP295NL,621
NP_001230526,CDON,1287
NP_001230542,LMO3,167
NP_001230618,LETMD1,373
NP_001230650,TSPY8,308
NP_001230651,TP53TG3D,124
NP_001230679,NUDT8,236
NP_001230685,PXN,605
NP_001230695,POMGNT1,748
NP_001230890,HLA-DQB1,269
NP_001230903,PPP3CC,521
NP_001230937,KIF1A,1791
NP_001230967,ZNF726,616
NP_001231,CCNT1,726
NP_001231001,GIMAP6,362
NP_001231118,KIAA0586,1644
NP_001231191,HBP1,524
NP_001231367,ARG1,330
NP_001231509,TRRAP,3859
NP_001231513,FMC1-LUC7L2,458
NP_001231611,POU2F3,438
NP_001231630,ZFP36L1,407
NP_001231639,GFPT1,699
NP_001231693,TNIP3,376
NP_001231695,MOB1B,221
NP_001231739,FOXP1,693
NP_001231821,CXorf51B,108
NP_001231827,PTBP3,558
NP_001231892,NAV2,2488
NP_001231903,PPP1CC,337
NP_001231931,NFIC,508
NP_001231954,C1orf194,169
NP_001233,CD27,260
NP_001234,TNFRSF8,595
NP_001234926,CLIP1,1438
NP_001235,TNFSF8,234
NP_001236,SIGLEC6,453
NP_001238,ENTPD6,484
NP_001238759,SPP1,327
NP_001238774,TRPC1,793
NP_001238803,KHDC1,237
NP_001238817,ASPSCR1,647
NP_001238831,TNK1,666
NP_001238833,APPL2,670
NP_001238863,NR1H3,453
NP_001238902,RCAN2,243
