Gene,Transcript,Prot_length
DCAF8L2,NM_001136533,631
DCAKD,NM_001128631,231
DCANP1,NM_130848,244
DCBLD1,NM_173674,539
DCBLD2,NM_080927,775
DCC,NM_005215,1447
DCD,NM_001300854,121
DCDC1,NM_001350255,1402
DCDC2,NM_001195610,476
DCDC2B,NM_001099434,349
DCDC2C,NM_001287444,364
DCHS1,NM_003737,3298
DCHS2,NM_017639,2916
DCK,NM_000788,260
DCLK1,NM_001330071,740
DCLK2,NM_001040261,783
DCLK3,NM_033403,648
DCLRE1A,NM_001271816,1040
DCLRE1B,NM_022836,532
DCLRE1C,NM_001033855,692
DCN,NM_001920,359
DCP1A,NM_018403,582
DCP1B,NM_152640,617
DCP2,NM_152624,420
DCPS,NM_001350236,344
DCST1,NM_152494,706
DCST2,NM_144622,773
DCSTAMP,NM_030788,470
DCT,NM_001129889,552
DCTD,NM_001012732,189
DCTN1,NM_004082,1278
DCTN2,NM_001348065,446
DCTN3,NM_007234,186
DCTN4,NM_001135643,467
DCTN5,NM_032486,182
DCTN6,NM_006571,190
DCTPP1,NM_024096,170
DCUN1D1,NM_020640,259
DCUN1D2,NM_001014283,259
DCUN1D3,NM_173475,304
DCUN1D4,NM_001287755,336
DCUN1D5,NM_032299,237
DCX,NM_000555,441
DCXR,NM_016286,244
DDA1,NM_024050,102
DDAH1,NM_012137,285
DDAH2,NM_001303007,285
DDB1,NM_001923,1140
DDB2,NM_000107,427
DDC,NM_000790,480
DDHD1,NM_001160148,900
DDHD2,NM_001164232,711
DDI1,NM_001001711,396
DDI2,NM_032341,399
DDIAS,NM_145018,998
DDIT3,NM_001195053,192
DDIT4,NM_019058,232
DDIT4L,NM_145244,193
DDN,NM_015086,711
DDO,NM_003649,369
DDOST,NM_005216,439
DDR1,NM_013994,919
DDR2,NM_001014796,855
DDRGK1,NM_023935,314
DDT,NM_001084392,118
DDTL,NM_001084393,134
DDX1,NM_004939,740
DDX10,NM_004398,875
DDX11,NM_001257144,970
DDX17,NM_001098504,731
DDX18,NM_006773,670
DDX19A,NM_018332,478
DDX19B,NM_007242,479
DDX20,NM_007204,824
DDX21,NM_004728,783
DDX23,NM_004818,820
DDX24,NM_020414,859
DDX25,NM_013264,483
DDX27,NM_001348187,827
DDX28,NM_018380,540
DDX31,NM_022779,851
DDX39A,NM_005804,427
DDX39B,NM_004640,428
DDX3X,NM_001356,662
DDX4,NM_024415,724
DDX41,NM_016222,622
DDX42,NM_007372,938
DDX43,NM_018665,648
DDX46,NM_001300860,1032
DDX47,NM_016355,455
DDX49,NM_019070,483
DDX5,NM_001320595,614
DDX50,NM_024045,737
DDX51,NM_175066,666
DDX52,NM_007010,599
DDX53,NM_182699,631
DDX54,NM_001111322,882
DDX55,NM_020936,600
DDX56,NM_019082,547
DDX58,NM_014314,925
DDX59,NM_001031725,619
DDX6,NM_001257191,483
DDX60,NM_017631,1712
DDX60L,NM_001345927,1707
DEAF1,NM_021008,565
DEC1,NM_017418,70
DECR1,NM_001359,335
DECR2,NM_020664,292
DEDD,NM_001330765,348
DEDD2,NM_001270614,326
DEF6,NM_022047,631
DEF8,NM_207514,512
DEFA1,NM_004084,94
DEFA1B,NM_001042500,94
DEFA3,NM_005217,94
DEFA4,NM_001925,97
DEFA5,NM_021010,94
DEFA6,NM_001926,100
DEFB1,NM_005218,68
DEFB104A,NM_080389,72
DEFB104B,NM_001040702,72
DEFB105A,NM_152250,78
DEFB105B,NM_001040703,78
DEFB106A,NM_152251,65
DEFB106B,NM_001040704,65
DEFB108B,NM_001002035,73
DEFB110,NM_001037497,67
DEFB112,NM_001037498,113
DEFB113,NM_001037729,82
DEFB114,NM_001037499,69
DEFB115,NM_001037730,88
DEFB116,NM_001037731,102
DEFB118,NM_054112,123
DEFB119,NM_153323,88
DEFB121,NM_001011878,76
DEFB123,NM_153324,67
DEFB124,NM_001037500,71
DEFB125,NM_153325,156
DEFB126,NM_030931,111
DEFB127,NM_139074,99
DEFB128,NM_001037732,93
DEFB129,NM_080831,183
DEFB131A,NM_001040448,70
DEFB131B,NM_001242853,70
DEFB132,NM_207469,95
DEFB133,NM_001166478,61
DEFB134,NM_001302695,66
DEFB135,NM_001033017,77
DEFB136,NM_001033018,78
DEFB4A,NM_004942,64
DEFB4B,NM_001205266,64
DEGS1,NM_003676,323
DEGS2,NM_206918,323
DEK,NM_003472,375
DELE1,NM_001142603,515
DENND10,NM_207009,357
DENND11,NM_001080392,455
DENND1A,NM_020946,1009
DENND1B,NM_001195215,775
DENND1C,NM_024898,801
DENND2A,NM_001318052,1009
DENND2B,NM_005418,1137
DENND2C,NM_001256404,928
DENND2D,NM_024901,471
DENND3,NM_014957,1211
DENND4A,NM_001320835,1907
DENND4B,NM_014856,1496
DENND4C,NM_001330640,1958
DENND5A,NM_001348748,1287
DENND5B,NM_001308339,1309
DENND6A,NM_152678,608
DENND6B,NM_001001794,585
DENR,NM_003677,198
DEPDC1,NM_001114120,811
DEPDC1B,NM_018369,529
DEPDC4,NM_001319311,509
DEPDC5,NM_001242896,1603
DEPDC7,NM_001077242,511
DEPP1,NM_007021,212
DEPTOR,NM_022783,409
DERA,NM_015954,318
DERL1,NM_024295,251
DERL2,NM_016041,239
DERL3,NM_001135751,239
DES,NM_001927,470
DESI1,NM_015704,168
DESI2,NM_016076,194
DET1,NM_017996,561
DEUP1,NM_181645,604
DEXI,NM_014015,95
DFFA,NM_004401,331
DFFB,NM_001282669,362
DGAT1,NM_012079,488
DGAT2,NM_032564,388
DGAT2L6,NM_198512,337
DGCR2,NM_005137,550
DGCR6,NM_005675,220
DGCR6L,NM_033257,220
DGCR8,NM_022720,773
DGKA,NM_001351035,773
DGKB,NM_001350705,804
DGKD,NM_152879,1214
DGKE,NM_003647,567
DGKG,NM_001346,791
DGKH,NM_178009,1220
DGKI,NM_004717,1065
DGKQ,NM_001347,942
DGKZ,NM_001105540,1117
DGLUCY,NM_001102368,621
DGUOK,NM_080916,277
DHCR24,NM_014762,516
DHCR7,NM_001163817,475
DHDDS,NM_024887,334
DHDH,NM_014475,334
DHFR,NM_000791,187
DHFR2,NM_001195643,187
DHH,NM_021044,396
DHODH,NM_001361,395
DHPS,NM_001930,369
DHRS1,NM_001136050,313
DHRS11,NM_024308,260
DHRS12,NM_001270424,317
DHRS13,NM_144683,377
DHRS2,NM_182908,300
DHRS3,NM_004753,302
DHRS4,NM_021004,278
DHRS4L1,NM_001277864,150
DHRS4L2,NM_198083,232
DHRS7,NM_016029,339
DHRS7B,NM_015510,325
DHRS7C,NM_001220493,312
DHRS9,NM_001289763,379
DHRSX,NM_145177,330
DHTKD1,NM_018706,919
DHX15,NM_001358,795
DHX16,NM_003587,1041
DHX29,NM_019030,1369
DHX30,NM_138615,1194
DHX32,NM_018180,743
DHX33,NM_020162,707
DHX34,NM_014681,1143
DHX35,NM_021931,703
DHX36,NM_020865,1008
DHX37,NM_032656,1157
DHX38,NM_014003,1227
DHX40,NM_024612,779
DHX57,NM_198963,1386
DHX58,NM_024119,678
DHX8,NM_004941,1220
DHX9,NM_001357,1270
DIABLO,NM_019887,239
DIAPH1,NM_005219,1272
DIAPH2,NM_006729,1101
DIAPH3,NM_001042517,1193
DICER1,NM_001271282,1922
DIDO1,NM_001193369,2240
DIMT1,NM_014473,313
DIO1,NM_001039715,201
DIO2,NM_001242503,110
DIP2A,NM_015151,1571
DIP2B,NM_173602,1576
DIP2C,NM_014974,1556
DIPK1A,NM_001006605,428
DIPK1B,NM_152421,431
DIPK1C,NM_001044369,419
DIPK2A,NM_173552,430
DIPK2B,NM_176819,433
DIRAS1,NM_145173,198
DIRAS2,NM_017594,199
DIRAS3,NM_004675,229
DIRC1,NM_052952,104
DIS3,NM_014953,958
DIS3L,NM_001143688,1054
DIS3L2,NM_152383,885
DISC1,NM_001164537,886
DISP1,NM_032890,1524
DISP2,NM_033510,1401
DISP3,NM_020780,1392
DIXDC1,NM_001278542,218
DKC1,NM_001363,514
DKK1,NM_012242,266
DKK2,NM_014421,259
DKK3,NM_001330220,364
DKK4,NM_014420,224
DKKL1,NM_014419,242
DLAT,NM_001931,647
DLC1,NM_001348081,1528
DLD,NM_000108,509
DLEC1,NM_007337,1778
DLEU7,NM_001306135,221
DLG1,NM_004087,926
DLG2,NM_001142699,975
DLG3,NM_021120,817
DLG4,NM_001365,767
DLG5,NM_004747,1919
DLGAP1,NM_004746,977
DLGAP2,NM_001346810,1055
DLGAP3,NM_001080418,979
DLGAP4,NM_014902,989
DLGAP5,NM_014750,846
DLK1,NM_003836,383
DLK2,NM_023932,383
DLL1,NM_005618,723
DLL3,NM_016941,618
DLL4,NM_019074,685
DLST,NM_001933,453
DLX1,NM_178120,255
DLX2,NM_004405,328
DLX3,NM_005220,287
DLX4,NM_138281,240
DLX5,NM_005221,289
DLX6,NM_005222,293
DMAC1,NM_001318059,129
DMAC2,NM_001167867,263
DMAC2L,NM_001003803,200
DMAP1,NM_001034023,467
DMBT1,NM_007329,2413
DMBX1,NM_147192,382
DMC1,NM_007068,340
DMD,NM_004006,3685
DMGDH,NM_013391,866
DMKN,NM_033317,476
DMP1,NM_004407,513
DMPK,NM_001288764,655
DMRT1,NM_021951,373
DMRT2,NM_181872,561
DMRT3,NM_021240,472
DMRTA1,NM_022160,504
DMRTA2,NM_032110,542
DMRTB1,NM_033067,342
DMRTC2,NM_001040283,367
DMTF1,NM_001142327,760
DMTN,NM_001114135,405
DMWD,NM_004943,674
DMXL1,NM_001290321,3048
DMXL2,NM_001174116,3037
DNA2,NM_001080449,1060
DNAAF1,NM_178452,725
DNAAF2,NM_018139,837
DNAAF3,NM_001256714,608
DNAAF4,NM_130810,420
DNAAF5,NM_017802,855
DNAH1,NM_015512,4265
DNAH10,NM_207437,4471
DNAH11,NM_001277115,4516
DNAH12,NM_198564,457
DNAH14,NM_001373,4515
DNAH17,NM_173628,4462
DNAH2,NM_020877,4427
DNAH3,NM_017539,4116
DNAH5,NM_001369,4624
DNAH6,NM_001370,4158
DNAH7,NM_018897,4024
DNAH8,NM_001206927,4707
DNAH9,NM_001372,4486
DNAI1,NM_001281428,703
DNAI2,NM_023036,605
DNAJA1,NM_001539,397
DNAJA2,NM_005880,412
DNAJA3,NM_005147,480
DNAJA4,NM_018602,426
DNAJB1,NM_006145,340
DNAJB11,NM_016306,358
DNAJB12,NM_001002762,375
DNAJB13,NM_153614,316
DNAJB14,NM_001031723,379
DNAJB2,NM_006736,324
DNAJB3,NM_001001394,145
DNAJB4,NM_001317099,337
DNAJB5,NM_001135005,420
DNAJB6,NM_058246,326
DNAJB7,NM_145174,309
DNAJB8,NM_153330,232
DNAJB9,NM_012328,223
DNAJC1,NM_022365,554
DNAJC10,NM_018981,793
DNAJC11,NM_018198,559
DNAJC12,NM_021800,198
DNAJC13,NM_001329126,2248
DNAJC14,NM_032364,702
DNAJC15,NM_013238,150
DNAJC16,NM_015291,782
DNAJC17,NM_018163,304
DNAJC18,NM_152686,358
DNAJC19,NM_145261,116
DNAJC2,NM_014377,621
DNAJC21,NM_194283,576
DNAJC22,NM_001304944,341
DNAJC24,NM_181706,149
DNAJC25,NM_001015882,360
DNAJC25-GNG10,NM_004125,153
DNAJC27,NM_016544,273
DNAJC28,NM_001040192,388
DNAJC3,NM_006260,504
DNAJC30,NM_032317,226
DNAJC4,NM_001307980,249
DNAJC5,NM_025219,198
DNAJC5B,NM_001349432,199
DNAJC5G,NM_001303127,189
DNAJC6,NM_001256864,970
DNAJC7,NM_003315,494
DNAJC8,NM_014280,253
DNAJC9,NM_015190,260
DNAL1,NM_031427,190
DNAL4,NM_005740,105
DNALI1,NM_003462,258
DNASE1,NM_005223,282
DNASE1L1,NM_001009932,302
DNASE1L2,NM_001301680,299
DNASE1L3,NM_004944,305
DNASE2,NM_001375,360
DNASE2B,NM_021233,361
DND1,NM_194249,353
DNER,NM_139072,737
DNHD1,NM_144666,4753
DNLZ,NM_001080849,178
DNM1L,NM_001278464,749
DNM2,NM_001005360,870
DNM3,NM_001350204,869
DNMBP,NM_015221,1577
DNMT1,NM_001130823,1632
DNMT3A,NM_022552,912
DNMT3B,NM_006892,853
DNMT3L,NM_013369,387
DNPEP,NM_001319116,493
DNPH1,NM_006443,174
DNTT,NM_004088,509
DNTTIP1,NM_052951,329
DNTTIP2,NM_014597,756
DOC2A,NM_001282062,400
DOC2B,NM_003585,412
DOCK1,NM_001290223,1886
DOCK10,NM_014689,2186
DOCK11,NM_144658,2073
DOCK2,NM_004946,1830
DOCK3,NM_004947,2030
DOCK4,NM_014705,1966
DOCK5,NM_024940,1870
DOCK6,NM_020812,2047
DOCK7,NM_001330614,2131
DOCK8,NM_203447,2099
DOCK9,NM_001130049,1254
DOHH,NM_001145165,302
DOK1,NM_001381,481
DOK2,NM_003974,412
DOK3,NM_001308235,440
DOK4,NM_001330556,365
DOK5,NM_018431,306
DOK6,NM_152721,331
DOK7,NM_001301071,608
DOLK,NM_014908,538
DOLPP1,NM_020438,238
DONSON,NM_017613,566
DOP1A,NM_001199942,2476
DOP1B,NM_001320714,2298
DOT1L,NM_032482,1537
DPAGT1,NM_001382,408
DPCD,NM_001329742,214
DPEP1,NM_001128141,411
DPEP2,NM_022355,486
DPEP3,NM_022357,513
DPF1,NM_001289978,424
DPF2,NM_001330308,405
DPF3,NM_001280544,412
DPH1,NM_001383,438
DPH2,NM_001384,489
DPH3,NM_206831,82
DPH3P1,NM_080750,78
DPH5,NM_001077394,285
DPH6,NM_080650,267
DPH7,NM_138778,452
DPM1,NM_001317034,295
DPM2,NM_003863,84
DPM3,NM_018973,122
DPP10,NM_001321905,813
DPP3,NM_005700,737
DPP4,NM_001935,766
DPP6,NM_130797,865
DPP7,NM_013379,492
DPP8,NM_001320875,898
DPP9,NM_139159,892
DPP9-AS1,NM_001242901,216
DPPA2,NM_138815,298
DPPA3,NM_199286,159
DPPA4,NM_018189,304
DPPA5,NM_001025290,116
DPRX,NM_001012728,191
DPT,NM_001937,201
DPY19L1,NM_015283,675
DPY19L2,NM_173812,758
DPY19L3,NM_001172774,716
DPY19L4,NM_181787,723
DPY30,NM_001321209,99
DPYD,NM_000110,1025
DPYS,NM_001385,519
DPYSL2,NM_001197293,677
DPYSL3,NM_001197294,684
DPYSL4,NM_006426,572
DPYSL5,NM_001253723,564
DQX1,NM_133637,717
DR1,NM_001938,176
DRAM1,NM_018370,238
DRAM2,NM_001349881,266
DRAP1,NM_006442,205
DRAXIN,NM_198545,349
DRC1,NM_145038,740
DRC3,NM_001130090,523
DRC7,NM_001289162,874
DRD1,NM_000794,446
DRD2,NM_000795,443
DRD3,NM_000796,400
DRD4,NM_000797,419
DRD5,NM_000798,477
DRG1,NM_004147,367
DRG2,NM_001388,364
DRGX,NM_001276451,263
DRICH1,NM_016449,229
DROSHA,NM_013235,1374
DRP2,NM_001939,957
DSC1,NM_024421,894
DSC2,NM_024422,901
DSC3,NM_001941,896
DSCAM,NM_001389,2012
DSCAML1,NM_020693,2053
DSCC1,NM_024094,393
DSE,NM_001322939,977
DSEL,NM_032160,1212
DSG1,NM_001942,1049
DSG2,NM_001943,1118
DSG3,NM_001944,999
DSG4,NM_001134453,1059
DSN1,NM_001145315,356
DSP,NM_004415,2871
DSPP,NM_014208,1301
DST,NM_001144769,5675
DSTN,NM_006870,165
DSTYK,NM_015375,929
DTD1,NM_001318043,213
DTD2,NM_080664,168
DTHD1,NM_001170700,906
DTL,NM_016448,730
DTNA,NM_001390,743
DTNB,NM_021907,627
DTNBP1,NM_032122,351
DTWD1,NM_001144955,304
DTWD2,NM_173666,298
DTX1,NM_004416,620
DTX2,NM_001102594,622
DTX3,NM_001286245,350
DTX3L,NM_138287,740
DTX4,NM_015177,619
DTYMK,NM_001320905,251
DUOX1,NM_017434,1551
DUOX2,NM_014080,1548
DUOXA1,NM_001276264,483
DUOXA2,NM_207581,320
DUPD1,NM_001003892,220
DUS1L,NM_022156,473
DUS2,NM_001271762,493
DUS3L,NM_020175,650
DUS4L,NM_001270419,317
DUSP1,NM_004417,367
DUSP10,NM_007207,482
DUSP11,NM_003584,377
DUSP12,NM_007240,340
DUSP13,NM_001007273,291
DUSP14,NM_007026,198
DUSP15,NM_001320479,295
DUSP16,NM_030640,665
DUSP18,NM_001304794,188
DUSP19,NM_080876,217
DUSP2,NM_004418,314
DUSP21,NM_022076,190
DUSP22,NM_001286555,205
DUSP23,NM_001319658,150
DUSP26,NM_001305115,211
DUSP27,NM_001080426,1158
DUSP28,NM_001033575,176
DUSP3,NM_004090,185
DUSP4,NM_001394,394
DUSP5,NM_004419,384
DUSP6,NM_001946,381
DUSP7,NM_001947,419
DUSP8,NM_004420,625
DUSP9,NM_001318503,384
DUT,NM_001025248,252
DUXA,NM_001012729,204
DUXB,NM_001351307,345
DVL1,NM_001330311,695
DVL2,NM_004422,736
DVL3,NM_004423,716
DXO,NM_005510,396
DYDC1,NM_001269053,177
DYDC2,NM_001270042,191
DYM,NM_017653,669
DYNAP,NM_173629,184
DYNC1H1,NM_001376,4646
DYNC1I1,NM_004411,645
DYNC1I2,NM_001271785,638
DYNC1LI1,NM_016141,523
DYNC1LI2,NM_006141,492
DYNC2H1,NM_001080463,4314
DYNC2LI1,NM_001348913,374
DYNLL1,NM_001037494,89
DYNLL2,NM_080677,89
DYNLRB1,NM_001319157,121
DYNLRB2,NM_001305017,125
DYNLT1,NM_006519,113
DYNLT3,NM_006520,116
DYRK1A,NM_001396,763
DYRK1B,NM_004714,629
DYRK2,NM_006482,601
DYRK3,NM_003582,588
DYRK4,NM_003845,520
DYSF,NM_001130987,2119
DYTN,NM_001093730,578
DZANK1,NM_001351683,780
DZIP1,NM_198968,867
DZIP1L,NM_173543,767
DZIP3,NM_014648,1208
E2F1,NM_005225,437
E2F2,NM_004091,437
E2F3,NM_001949,465
E2F4,NM_001950,413
E2F5,NM_001951,346
E2F6,NM_198256,281
E2F7,NM_203394,911
E2F8,NM_001256371,867
E4F1,NM_004424,784
EAF1,NM_033083,268
EAF2,NM_018456,260
EAPP,NM_018453,285
EARS2,NM_001308211,534
EBAG9,NM_001278938,213
EBF1,NM_001324101,604
EBF2,NM_022659,575
EBF3,NM_001005463,551
EBF4,NM_001110514,598
EBI3,NM_005755,229
EBLN1,NM_001199938,366
EBLN2,NM_018029,272
EBNA1BP2,NM_001159936,361
EBP,NM_006579,230
EBPL,NM_032565,206
ECD,NM_001135752,677
ECE1,NM_001397,770
ECE2,NM_001100120,811
ECEL1,NM_004826,775
ECH1,NM_001398,328
ECHDC1,NM_001139510,307
ECHDC2,NM_001198961,292
ECHDC3,NM_024693,303
ECHS1,NM_004092,290
ECI1,NM_001919,302
ECI2,NM_206836,394
ECM1,NM_001202858,567
ECM2,NM_001393,699
ECPAS,NM_001080398,2017
ECRG4,NM_032411,148
ECSIT,NM_016581,431
ECT2,NM_001349094,958
ECT2L,NM_001077706,904
EDA,NM_001399,391
EDA2R,NM_001242310,318
EDAR,NM_022336,448
EDARADD,NM_145861,215
EDC3,NM_001142443,508
EDC4,NM_014329,1401
EDDM3A,NM_006683,147
EDDM3B,NM_022360,147
EDEM1,NM_014674,657
EDEM2,NM_018217,578
EDEM3,NM_001319960,948
EDF1,NM_003792,148
EDIL3,NM_005711,480
EDN1,NM_001955,212
EDN2,NM_001956,178
EDN3,NM_207034,238
EDNRA,NM_001957,427
EDNRB,NM_001201397,532
EDRF1,NM_001202438,1238
EEA1,NM_003566,1411
EED,NM_001308007,466
EEF1A1,NM_001402,462
EEF1A2,NM_001958,463
EEF1AKMT1,NM_001318939,214
EEF1AKMT2,NM_212554,291
EEF1AKMT3,NM_015433,226
EEF1AKMT4,NM_032331,255
EEF1AKMT4-ECE2,NM_014693,883
EEF1AKNMT,NM_015935,699
EEF1B2,NM_001037663,225
EEF1D,NM_001130053,647
EEF1E1,NM_004280,174
EEF1G,NM_001404,437
EEF2,NM_001961,858
EEF2K,NM_013302,725
EEF2KMT,NM_201400,330
EEFSEC,NM_021937,596
EEPD1,NM_030636,569
EFCAB1,NM_024593,211
EFCAB11,NM_145231,163
EFCAB12,NM_207307,572
EFCAB13,NM_152347,973
EFCAB14,NM_014774,495
EFCAB2,NM_001290327,172
EFCAB3,NM_001144933,490
EFCAB5,NM_198529,1503
EFCAB6,NM_022785,1501
EFCAB7,NM_032437,629
EFCAB8,NM_001143967,1288
EFCAB9,NM_001171183,197
EFCC1,NM_024768,598
EFEMP1,NM_001039348,493
EFEMP2,NM_016938,443
EFHB,NM_144715,833
EFHC1,NM_018100,640
EFHC2,NM_025184,749
EFHD1,NM_025202,239
EFHD2,NM_024329,240
EFL1,NM_001322845,1120
EFNA1,NM_004428,205
EFNA2,NM_001405,213
EFNA3,NM_004952,238
EFNA4,NM_182689,207
EFNA5,NM_001962,228
EFNB1,NM_004429,346
EFNB2,NM_004093,333
EFNB3,NM_001406,340
EFR3A,NM_001323558,838
EFR3B,NM_014971,817
EFS,NM_005864,561
EFTUD2,NM_001258353,972
EGF,NM_001963,1207
EGFL6,NM_001167890,554
EGFL7,NM_016215,273
EGFL8,NM_030652,293
EGFLAM,NM_001205301,1017
EGFR,NM_005228,1210
EGLN1,NM_022051,426
EGLN2,NM_053046,407
EGLN3,NM_022073,239
EGR1,NM_001964,543
EGR2,NM_000399,476
EGR3,NM_004430,387
EGR4,NM_001965,486
EHBP1,NM_015252,1231
EHBP1L1,NM_001099409,1523
EHD1,NM_001282445,548
EHD2,NM_014601,543
EHD3,NM_014600,535
EHD4,NM_139265,541
EHF,NM_001206616,322
EHHADH,NM_001966,723
EHMT1,NM_024757,1298
EHMT2,NM_001289413,1233
EI24,NM_001330419,262
EID1,NM_014335,187
EID2,NM_153232,236
EID2B,NM_152361,161
EID3,NM_001008394,333
EIF1,NM_005801,113
EIF1AD,NM_001242481,165
EIF1AX,NM_001412,144
EIF1B,NM_005875,113
EIF2A,NM_032025,585
EIF2AK1,NM_014413,630
EIF2AK2,NM_001135651,551
EIF2AK3,NM_004836,1116
EIF2AK4,NM_001013703,1649
EIF2B1,NM_001414,305
EIF2B2,NM_014239,351
EIF2B3,NM_020365,452
EIF2B4,NM_001318965,544
EIF2B5,NM_003907,721
EIF2D,NM_006893,584
EIF2S1,NM_004094,315
EIF2S2,NM_003908,333
EIF2S3,NM_001415,472
EIF3A,NM_003750,1382
EIF3B,NM_001037283,814
EIF3C,NM_001037808,913
EIF3CL,NM_001099661,914
EIF3D,NM_003753,548
EIF3E,NM_001568,445
EIF3F,NM_003754,357
EIF3G,NM_003755,320
EIF3H,NM_003756,352
EIF3I,NM_003757,325
EIF3J,NM_003758,258
EIF3K,NM_013234,218
EIF3L,NM_016091,564
EIF3M,NM_006360,374
EIF4A1,NM_001416,406
EIF4A2,NM_001967,407
EIF4A3,NM_014740,411
EIF4B,NM_001300821,616
EIF4E,NM_001130679,248
EIF4E1B,NM_001099408,242
EIF4E2,NM_004846,245
EIF4E3,NM_001134651,224
EIF4EBP1,NM_004095,118
EIF4EBP2,NM_004096,120
EIF4EBP3,NM_003732,100
EIF4ENIF1,NM_001164501,985
EIF4G1,NM_001194946,1606
EIF4G2,NM_001172705,907
EIF4G3,NM_001198801,1621
EIF4H,NM_022170,248
EIF5,NM_001969,431
EIF5A,NM_001143760,184
EIF5A2,NM_020390,153
EIF5AL1,NM_001099692,154
EIF5B,NM_015904,1220
EIF6,NM_001267810,245
EIPR1,NM_001330530,414
ELAC1,NM_018696,363
ELAC2,NM_018127,826
ELANE,NM_001972,267
ELAVL1,NM_001419,326
ELAVL2,NM_001351455,389
ELAVL3,NM_001420,367
ELAVL4,NM_001144775,402
ELF1,NM_172373,619
ELF2,NM_001331036,593
ELF3,NM_001114309,371
ELF4,NM_001127197,663
ELF5,NM_198381,265
ELFN1,NM_001128636,828
ELFN2,NM_052906,820
ELK1,NM_001114123,428
ELK3,NM_005230,407
ELK4,NM_001973,431
ELL,NM_006532,621
ELL2,NM_012081,640
ELL3,NM_025165,397
ELMO1,NM_001206480,727
ELMO2,NM_133171,720
ELMO3,NM_024712,720
ELMOD1,NM_018712,334
ELMOD2,NM_153702,293
ELMOD3,NM_001135021,381
ELN,NM_001278939,786
ELOA,NM_003198,798
ELOA2,NM_016427,753
ELOA3,NM_145653,546
ELOA3B,NM_001100817,546
ELOB,NM_207013,161
ELOC,NM_001204857,112
ELOF1,NM_032377,83
ELOVL1,NM_001256399,279
ELOVL2,NM_017770,296
ELOVL3,NM_152310,270
ELOVL4,NM_022726,314
ELOVL5,NM_001242828,326
ELOVL6,NM_001130721,265
ELOVL7,NM_001104558,281
ELP1,NM_003640,1332
ELP2,NM_001242875,891
ELP3,NM_018091,547
ELP4,NM_001288726,535
ELP5,NM_015362,316
ELP6,NM_001031703,266
ELSPBP1,NM_022142,223
EMB,NM_198449,327
EMC1,NM_015047,993
EMC10,NM_206538,262
EMC2,NM_001329493,306
EMC3,NM_018447,261
EMC4,NM_016454,183
EMC6,NM_001014764,110
EMC7,NM_020154,242
EMC8,NM_006067,210
EMC9,NM_016049,208
EMCN,NM_016242,261
EMD,NM_000117,254
EME1,NM_001166131,583
EME2,NM_001257370,379
EMID1,NM_133455,443
EMILIN1,NM_007046,1016
EMILIN2,NM_032048,1053
EMILIN3,NM_052846,766
EML1,NM_001008707,834
EML2,NM_001193268,850
EML3,NM_001300793,918
EML4,NM_019063,981
EML5,NM_183387,1977
EML6,NM_001039753,1958
EMP1,NM_001423,157
EMP2,NM_001424,167
EMP3,NM_001313905,163
EMSY,NM_001300942,1337
EMX1,NM_004097,290
EMX2,NM_004098,252
EN1,NM_001426,392
EN2,NM_001427,333
ENAH,NM_001008493,591
ENAM,NM_031889,1142
ENC1,NM_001256574,589
ENDOD1,NM_015036,500
ENDOG,NM_004435,297
ENDOU,NM_001172439,410
ENDOV,NM_173627,282
ENG,NM_001114753,658
ENGASE,NM_001042573,743
ENHO,NM_198573,76
ENKD1,NM_032140,346
ENKUR,NM_145010,256
ENO1,NM_001428,434
ENO2,NM_001975,434
ENO3,NM_001976,434
ENO4,NM_001242699,625
ENOPH1,NM_021204,261
ENOSF1,NM_202758,477
ENOX1,NM_001347963,678
ENOX2,NM_182314,610
ENPEP,NM_001977,957
ENPP1,NM_006208,925
ENPP2,NM_006209,915
ENPP3,NM_005021,875
ENPP4,NM_014936,453
ENPP5,NM_001290072,477
ENPP6,NM_153343,440
ENPP7,NM_178543,458
ENSA,NM_207042,137
ENTHD1,NM_152512,607
ENTPD1,NM_001164178,522
ENTPD2,NM_203468,495
ENTPD3,NM_001248,529
ENTPD4,NM_004901,616
ENTPD5,NM_001249,428
ENTPD6,NM_001247,484
ENTPD7,NM_001349962,606
ENTPD8,NM_001033113,495
ENTR1,NM_001039707,435
ENY2,NM_020189,101
EOGT,NM_001278689,527
EOLA1,NM_001171907,158
EOLA2,NM_001013845,158
EOMES,NM_001278182,705
EP300,NM_001429,2414
EP400,NM_015409,3123
EPAS1,NM_001430,870
EPB41,NM_001166005,864
EPB41L1,NM_012156,881
EPB41L2,NM_001350299,1057
EPB41L3,NM_012307,1087
EPB41L4A,NM_001347887,708
EPB41L4B,NM_019114,900
EPB41L5,NM_020909,733
EPB42,NM_000119,721
EPC1,NM_025209,836
EPC2,NM_015630,807
EPCAM,NM_002354,314
EPDR1,NM_017549,224
EPG5,NM_020964,2579
EPGN,NM_001270989,154
EPHA1,NM_005232,976
EPHA10,NM_001099439,1008
EPHA2,NM_004431,976
EPHA3,NM_005233,983
EPHA4,NM_001304536,986
EPHA5,NM_001281765,1038
EPHA6,NM_001080448,1130
EPHA7,NM_004440,998
EPHA8,NM_020526,1005
EPHB1,NM_004441,984
EPHB2,NM_001309193,1055
EPHB3,NM_004443,998
EPHB4,NM_004444,987
EPHB6,NM_004445,1022
EPHX1,NM_000120,455
